num_clients,num_facilities,num_variables,search_space_size,feasible_optimal_cost,assignment_penalty_strength,open_penalty_strength,exact_solver_executed,exact_energy,exact_feasible,exact_runtime_seconds,sa_num_reads,sa_num_runs,sa_runtime_seconds,mean_best_energy,std_best_energy,mean_energy,std_mean_energy,mean_optimal_rate,std_optimal_rate,mean_feasibility_rate,std_feasibility_rate,mean_best_feasible_energy,std_best_feasible_energy,mean_absolute_gap,std_absolute_gap,mean_relative_gap,std_relative_gap,run_success_rate
3,2,8,256,16.0,10.0,10.0,True,16.0,True,0.001464499975554645,100,20,0.3836791999929119,16.0,0.0,16.43,0.06774565435664853,0.6090000000000001,0.04541040919390503,0.9995,0.002236067977499791,16.0,0.0,0.0,0.0,0.0,0.0,1.0
5,2,12,4096,22.0,10.0,10.0,True,22.0,True,0.0038182999996934086,100,20,0.46525870001642033,22.0,0.0,23.281500000000005,0.16645767598623015,0.4755,0.04850122082022919,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0
7,2,16,65536,28.0,10.0,10.0,True,28.0,True,0.043721600028220564,100,20,0.5091723999939859,28.0,0.0,30.628000000000004,0.22168256109747767,0.3055,0.056145956408744445,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0
9,2,20,1048576,35.0,10.0,10.0,True,35.0,True,0.7395333000167739,100,20,0.5994818000181112,35.0,0.0,37.4255,0.1889994430512545,0.1275,0.02989014975926984,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0
10,2,22,4194304,37.0,10.0,10.0,True,37.0,True,2.9156020000227727,100,20,0.6855537999945227,37.0,0.0,39.808499999999995,0.22079461759267224,0.11649999999999998,0.026808286228819547,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0
15,2,32,4294967296,49.0,10.0,10.0,False,,,,100,20,0.9013924999744631,49.15,0.3663475485325232,53.684000000000005,0.2971513879631414,0.011000000000000001,0.007181848464596079,0.9995,0.002236067977499791,49.15,0.3663475485325232,0.15,0.36634754853252327,0.003061224489795918,0.007476480582296391,0.85
20,2,42,4398046511104,60.0,10.0,10.0,False,,,,100,20,1.1345521000039298,61.05,0.5104177855340404,66.196,0.2696469426568951,0.001,0.0030779350562554625,0.9994999999999999,0.0022360679774997916,61.05,0.5104177855340404,1.05,0.5104177855340404,0.0175,0.008506963092234008,0.1
30,2,62,4611686018427387904,84.0,10.0,10.0,False,,,,100,20,1.6192871000093874,86.4,0.8207826816681232,93.5255,0.31898647059249113,0.0,0.0,1.0,0.0,86.4,0.8207826816681232,2.4,0.8207826816681233,0.02857142857142857,0.009771222400810992,0.0
40,2,82,4835703278458516698824704,107.0,10.0,10.0,False,,,,100,20,2.1460892999893986,111.6,1.1424811411549587,119.79750000000001,0.33773042816018606,0.0,0.0,0.9995,0.002236067977499791,111.6,1.1424811411549587,4.6,1.142481141154959,0.04299065420560748,0.010677393842569709,0.0
50,2,102,5070602400912917605986812821504,130.0,10.0,10.0,False,,,,100,20,2.605494000017643,136.25,1.2085223687584246,146.096,0.47145240313424025,0.0,0.0,1.0,0.0,136.25,1.2085223687584246,6.25,1.2085223687584246,0.04807692307692308,0.009296325913526342,0.0
